title,description,location,lat,lng,pubDate,guid,imgLink,actURL
John Prine,"For more than 45 years, the legendary John Prine has written some of the most powerful lyrics in the American music canon. He brings some of his best to this unforgettable Tiny Desk performance.",Maywood,33.9866807,-118.185349,"Mon, 12 Mar 2018 13:40:00 -0400",8a181927-79f8-45e7-ba02-65fe810838b3,https://media.npr.org/assets/img/2018/03/12/johnprine_cascani_wide-a4e3bdcf2e693147c401d4274d0a2c0121df909b.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2017/03/20170312_ascvid_johnprinepodcast-n.mp4?orgId=1&d=967&p=510292&story=592915015&t=podcast&e=592915015&ft=pod&f=510292
Big Daddy Kane,One of the greatest to ever bless the mic treated the Tiny Desk audience to an office block party.,Brooklyn,40.6781784,-73.9441579,"Thu, 22 Feb 2018 09:31:00 -0500",3d0f30f9-7885-447b-8152-0c866aa0ecde,https://media.npr.org/assets/img/2018/02/22/bigdaddykane_charbage_wide-81057fbf16ea77e80a40e3fc4fef9b357252c752.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/02/20180215_ascvid_bigdaddykanepodcast-n.mp4?orgId=1&d=1157&p=510292&story=587879697&t=podcast&e=587879697&ft=pod&f=510292
Hurray For The Riff Raff,"The music of Hurray For The Riff Raff builds bridges, unites people and forms communities. It's a spirit singer Alynda Segarra and the rest of the band bring to this memorable Tiny Desk performance.",New Orleans,29.9510658,-90.0715323,"Mon, 05 Feb 2018 09:23:00 -0500",cdb97c04-98c7-4945-b42e-876a8a65ee66,https://media.npr.org/assets/img/2018/02/05/hurrayfortheriffraff_charbage_wide-300fbd35089da44d4fdfed3022596749cac4a7ae.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/02/20180202_ascvid_hurrayfortheriffraffpodcast-n.mp4?orgId=1&d=1139&p=510292&story=583315337&t=podcast&e=583315337&ft=pod&f=510292
Jamila Woods,"In three songs celebrating black ancestry and self-love, Woods demonstrated just how adept she is at creating songs rich with philosophical meaning that also move and groove.",United States,37.09024,-95.712891,"Mon, 29 Jan 2018 09:06:00 -0500",94827c60-7d14-4ff3-9823-c547ea91de14,https://media.npr.org/assets/img/2018/01/29/jamilawoods_jkerrigan_wide-b83a8ac1a21d5906eaec92922a915b7c44be65d6.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/01/20180126_ascvid_jamilawoods_1-n.mp4?orgId=1&d=727&p=510292&story=581530791&t=podcast&e=581530791&ft=pod&f=510292
Barbara Hannigan,"Eavesdrop on a beautiful recital of German songs from <em>fin de siècle</em> Vienna, when music was transitioning from the swells of romanticism to the uncharted waters of modernism.",Waverley,45.4490653,-122.652558,"Fri, 26 Jan 2018 10:01:00 -0500",ad5e7162-5b8f-40bb-b5a6-308b4abf20e5,https://media.npr.org/assets/img/2018/01/26/barbarahannigan_jkerrigan_wide-6d6404dac87f0ad0cc59459b7f56bc16cfb6b626.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/01/20180126_ascvid_barbara-n.mp4?orgId=1&d=1007&p=510292&story=580983604&t=podcast&e=580983604&ft=pod&f=510292
George Clinton & The P-Funk All Stars,"George Clinton brought his family, both immediate and extended, to the Tiny Desk for a set of classic cosmic slop.",Kannapolis,35.4873613,-80.6217341,"Wed, 24 Jan 2018 09:24:00 -0500",85378e50-7a02-4755-b879-1b1b11b7461d,https://media.npr.org/assets/img/2018/01/24/george-clinton_cascanipsd_wide-20998e24509d65cfd62a7f6d37d6064332c8bd98.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/01/20180124_ascvid_georgeclinton-n.mp4?orgId=1&d=792&p=510292&story=580208933&t=podcast&e=580208933&ft=pod&f=510292
St. Vincent,"The singer performed at the Tiny Desk without a warmup or soundcheck, with just her acoustic guitar and un-amplified voice, letting the wordplay in her songs shine through.",Tulsa,36.1539816,-95.992775,"Mon, 22 Jan 2018 11:46:00 -0500",52d2ded2-d104-4748-9b70-27c6140841fd,https://media.npr.org/assets/img/2018/01/19/stvincent_jkerrigan_wide-16a8717c5b69e7f19e3865d3180d076151aeb854.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/tinydesk/2018/01/20180119_tinydesk_stvincentpodcast-n.mp4?orgId=1&d=744&p=510292&story=579090713&t=podcast&e=579090713&ft=pod&f=510292
Amadou and Mariam,"The Malian musicians, who've been playing together for nearly 40 years, bring some of the most lyrical melodies and joyful sounds we've ever had at the Tiny Desk.",Bamako,12.6392316,-8.0028892,"Fri, 19 Jan 2018 09:14:00 -0500",41c36949-dc40-49dc-941d-feec142abc93,https://media.npr.org/assets/img/2018/01/19/amadouandmariam_charbage_wide-fe4fe8152a8b4bf7889224c11c459763b68994fe.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/01/20180118_ascvid_amadouandmariam-n.mp4?orgId=1&d=668&p=510292&story=579087507&t=podcast&e=579087507&ft=pod&f=510292
Lo Moon,"The LA band's signature sound is intimate and demonstrative, haunting yet uplifting, an old-fashioned rock beat under glimmering guitar and keys. And at the Tiny Desk, it was at ease.",Los Angeles,34.0522342,-118.2436849,"Fri, 05 Jan 2018 09:14:00 -0500",384f980e-6564-47d8-b4fd-5dd14e8c3c66,https://media.npr.org/assets/img/2018/01/04/lomoon_cascani2_wide-9e27d691647430c103945b74762730d19c05a685.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/01/20180104_ascvid_lomoon-n.mp4?orgId=1&d=917&p=510292&story=575289270&t=podcast&e=575289270&ft=pod&f=510292
Open Mike Eagle,The indie rap denizen behind one of 2017's most inventive albums came to the nation's capital to represent all the <em>Brick Body Kids</em> who <em>Still Daydream</em>.,Chicago,41.8781136,-87.6297982,"Wed, 03 Jan 2018 08:58:00 -0500",2f2e075d-4034-40e2-9672-0c15aea9a7a7,https://media.npr.org/assets/img/2018/01/02/openmikeeagle_jkerrigan_wide-8862b9de0941beba3fb398a92d24115f51141233.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/01/20180102_ascvid_openmikepodcast2-n.mp4?orgId=1&d=778&p=510292&story=575088618&t=podcast&e=575088618&ft=pod&f=510292
