title,description,pubDate,guid,imgLink,actURL
Miguel Zenón feat. Spektral Quartet,The saxophonist is a big thinker whose mesmerizing compositions chronicle the music of his native Puerto Rico with the help of an adventurous jazz quartet.,"Mon, 07 Jan 2019 13:47:00 -0500",220e98ce-22d1-438a-b622-59a65c68824b,https://media.npr.org/assets/img/2019/01/07/zonon_hkim_wide-2e76975f2c45ae0c168f2ac1b03cf1cc04f5c53a.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2019/01/20190102_ascvid_miguelzenonpodcast-n.mp4?orgId=1&d=1248&p=510292&story=682968752&t=podcast&e=682968752&ft=pod&f=510292
Harold López-Nussa Trio,"Cuban pianist Harold López-Nussa, along with his brother Ruy on drums and bassist Gaston Joya, deliver a set of danceable jazz explorations rooted in Afro-Cuban musical traditions to the Tiny Desk.","Wed, 19 Dec 2018 09:54:00 -0500",a74988c1-5446-4819-a9e1-ecdb482af45d,https://media.npr.org/assets/img/2018/12/19/harold_cameron_wide-ee2a9c7f24155f900d08f1fb0b4cb1f9413c223f.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/12/20181214_ascvid_haroldpodcast-n.mp4?orgId=1&p=510292&story=678135781&t=podcast&e=678135781&ft=pod&f=510292
Amy Grant,"Amy Grant maps her fabulous, four-decade career with some of her coziest and heartfelt Christmas songs, not to mention a delightful version of ""Jingle Bells.""","Wed, 19 Dec 2018 09:53:00 -0500",88a8a3d2-57d5-4cb1-ad5d-c29365640a05,https://media.npr.org/assets/img/2018/12/17/2018-11-07-amy-grant-selects-cpollack-9_wide-a7d866b438474fc60dde25d09fead1bcee2b80d0.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/12/20181214_ascvid_amygrantpodcast-n.mp4?orgId=1&p=510292&story=677340751&t=podcast&e=677340751&ft=pod&f=510292
H.E.R.,"The singer stuns in her second appearance at the Tiny Desk, showcasing not only her vocal mastery, but her skills as a captivating multi-instrumentalist.","Wed, 12 Dec 2018 09:02:00 -0500",5e55375c-00b5-40b1-99a2-41df124e0d2e,https://media.npr.org/assets/img/2018/12/12/her_cpollack_wide-061d007054a615b6ed7dca446167cf206acce75a.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/12/20181211_ascvid_herpodcast-n.mp4?orgId=1&p=510292&story=676022008&t=podcast&e=676022008&ft=pod&f=510292
Wu-Tang Clan,The Clan celebrates its 25th anniversary with an old-school cipher at the Tiny Desk.,"Wed, 05 Dec 2018 13:09:00 -0500",7b1ede94-6a90-450c-a164-bed7c1cd9750,https://media.npr.org/assets/img/2018/12/05/wutangclan-cpollack_wide-7a36a87c7184788d42ff7fb8606159f9f2c27372.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/12/20181205_ascvid_wutangpodcast-n.mp4?orgId=1&p=510292&story=673704227&t=podcast&e=673704227&ft=pod&f=510292
Dirty Projectors,"The band takes its quirks of production, rhythm and rhyme and brilliantly arranges them to work behind the Tiny Desk.","Tue, 04 Dec 2018 13:42:00 -0500",61b80ea4-63ff-473f-afb4-192fef7d0545,https://media.npr.org/assets/img/2018/12/04/dirtyprojectord_cpollack_wide-acb7c99b94bde8213a8ad39fe86fb1495a195731.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181130_ascvid_dirtyprojectorspodcast-n.mp4?orgId=1&p=510292&story=673311690&t=podcast&e=673311690&ft=pod&f=510292
Joey Alexander,No one in the NPR offices could have imagined how remarkable this 15-year old pianist would be at the Tiny Desk.,"Fri, 30 Nov 2018 12:05:00 -0500",fc07e198-97f5-4bb8-9c99-9bd1119a960c,https://media.npr.org/assets/img/2018/11/30/joey_cpollack_wide-16812db502ab8316f90484bdf4b21a7a5d197647.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181129_ascvid_joeypodcast-n.mp4?orgId=1&p=510292&story=672219064&t=podcast&e=672219064&ft=pod&f=510292
The Innocence Mission,"The Innocence Mission, ever the most careful cultivators of quiet, encouraged us to come closer, to discover the ""thing beautiful enough"" in the moment it's delivered.","Thu, 29 Nov 2018 10:57:00 -0500",21f6ac4a-daa0-4a6f-bf1b-7ffd5f2cf2fd,https://media.npr.org/assets/img/2018/11/29/the-innocence-mission-cpollack_wide-9972890c7b0cf46dba37e9d0baad13b1439bb27e.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181127_ascvid_innocencemissionpodcast-n.mp4?orgId=1&p=510292&story=671872947&t=podcast&e=671872947&ft=pod&f=510292
dvsn,"The Toronto-based R&B duo bathed the Tiny Desk in vibrant blue, purple and orange light to make it feel more like a concert hall.","Mon, 26 Nov 2018 09:50:00 -0500",48b4a978-a381-46bc-967c-a45e07c75349,https://media.npr.org/assets/img/2018/11/26/dvsn-cpollack_wide-399d3555a7f1969d0bb27ad3b8ef9dd5c6395182.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181116_ascvid_dvsnpodcast-n.mp4?orgId=1&p=510292&story=670805427&t=podcast&e=670805427&ft=pod&f=510292
boygenius,"Julien Baker, Lucy Dacus and Phoebe Bridgers are all Tiny Desk alumae, but here they play together at NPR for the first time as boygenius, one of this year's best surprises.","Mon, 26 Nov 2018 09:49:00 -0500",2ed4386d-960b-4ddc-bc42-0658aaefd2f1,https://media.npr.org/assets/img/2018/11/26/boygenius_cpollack_wide-766539b8faec677cc278e21d0aca65a0d40bf103.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181115_ascvid_boygeniuspodcast-n.mp4?orgId=1&p=510292&story=670804974&t=podcast&e=670804974&ft=pod&f=510292
Bernie And The Believers Feat. Essence: Tiny Desk Concert,The story of Bernie and the Believers is the story of Bernie Dalton's diagnosis of Lou Gehrig's disease and compassionate friends making his dream come true and his songs come to life.,"Tue, 13 Nov 2018 09:25:00 -0500",db49b3d5-4516-4c25-8a5c-4a07424c84a9,https://media.npr.org/assets/img/2018/11/13/bernie_cpollack_wide-d2493c5e5b6f1b2b85eef9ad7a862bfb4fb6907e.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181102_ascvid_berniepodcast-n.mp4?orgId=1&d=1443&p=510292&story=667338574&t=podcast&e=667338574&ft=pod&f=510292
Half Waif,"The band's songs, stripped here to their essence, are particularly peaceful and calm — and sometimes chilling.","Fri, 09 Nov 2018 10:41:00 -0500",d5ec96f2-8d14-4127-860e-a2d0cabbc7c5,https://media.npr.org/assets/img/2018/11/09/2018-10-18-half-waif-cpollack_wide-c5a7756e74b8f172399a096cdc62fc55fbd41065.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181108_ascvid_halfwaifpodcast-n.mp4?orgId=1&d=789&p=510292&story=666146938&t=podcast&e=666146938&ft=pod&f=510292
Pedro The Lion,"No matter how dark or disastrous, there's always been an undercurrent of grace to the music of David Bazan. He returns to his Pedro the Lion moniker for this memorable Tiny Desk performance.","Thu, 08 Nov 2018 10:48:00 -0500",3b08576a-a357-4e01-a29e-3b7393090dda,https://media.npr.org/assets/img/2018/11/08/pedro-the-lion-charbage_wide-86e7df4323f6547699c03a29edb6c3eba5f1d5df.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181107_ascvid_pedrothelionpodcast-n.mp4?orgId=1&d=856&p=510292&story=665633439&t=podcast&e=665633439&ft=pod&f=510292
Nicholas Payton Trio,"After back-to-back performances in South Africa, Argentina, Chile and New York, Payton hit the Tiny Desk, where he dazzled the audience, simultaneously playing his trumpet and a Fender Rhodes.","Fri, 02 Nov 2018 09:31:00 -0400",4354fc9d-d72d-465d-bfe9-ed2eb9bc2627,https://media.npr.org/assets/img/2018/11/02/nicholas-payton-trio-cpollack_wide-33d7fb9861e5d7f4def8fea11078c81f9d740c33.jpg?s=1400,https://play.podtrac.com/npr-510292/ondemand.npr.org/npr-mp4/npr/ascvid/2018/11/20181101_ascvid_paytonpodcast-n.mp4?orgId=1&d=1441&p=510292&story=663382403&t=podcast&e=663382403&ft=pod&f=510292
